id,WKT
37,"621750.259493968 5310193.32874659 0.0,621200.106074408 5306951.62828293 0.0,621681.021495478 5306103.58523552 0.0,"
38,"621681.021495478 5306103.58523552 0.0,621691.170051815 5306086.48715218 0.0,"
39,"621691.170051815 5306086.48715218 0.0,622146.106989986 5305320.53321656 0.0,"
40,"622146.106989986 5305320.53321656 0.0,622160.41539819 5305294.99571337 0.0,"
41,"622160.41539819 5305294.99571337 0.0,622338.897906337 5304996.84202685 0.0,"
42,"622338.897906337 5304996.84202685 0.0,622422.702001362 5304844.72190217 0.0,"
43,"622422.702001362 5304844.72190217 0.0,622435.201536884 5304810.07361826 0.0,"
44,"622435.201536884 5304810.07361826 0.0,622462.855231294 5304698.15905955 0.0,"
45,"622462.855231294 5304698.15905955 0.0,622464.746663657 5304682.33249991 0.0,"
46,"622464.746663657 5304682.33249991 0.0,622256.577865399 5304147.72727231 0.0,"
47,"622469.327487502 5304682.87443194 0.0,622259.561776999 5304144.57709586 0.0,"
48,"622467.368758952 5304698.69956296 0.0,622469.327487502 5304682.87443194 0.0,"
49,"622438.913382355 5304812.08703388 0.0,622467.368758952 5304698.69956296 0.0,"
50,"622427.222927749 5304846.31883187 0.0,622438.913382355 5304812.08703388 0.0,"
51,"622343.517848 5304999.40833844 0.0,622427.222927749 5304846.31883187 0.0,"
52,"622165.379104249 5305298.62546092 0.0,622343.517848 5304999.40833844 0.0,"
53,"622150.332994204 5305324.03615146 0.0,622165.379104249 5305298.62546092 0.0,"
54,"621695.163460265 5306088.23920055 0.0,622150.332994204 5305324.03615146 0.0,"
55,"621685.01369718 5306105.7486503 0.0,621695.163460265 5306088.23920055 0.0,"
56,"621753.961104482 5310190.7161598 0.0,621205.945305138 5306952.68494761 0.0,621685.01369718 5306105.7486503 0.0,"
57,"621414.566747067 5304118.71919777 0.0,621411.074550845 5304088.08013013 0.0,"
58,"621414.566747067 5304118.71919777 0.0,621420.802504504 5304164.01497684 0.0,"
59,"621420.802504504 5304164.01497684 0.0,621426.462884531 5304213.19025764 0.0,"
60,"621426.462884531 5304213.19025764 0.0,621428.656788466 5304269.27526913 0.0,"
61,"621428.656788466 5304269.27526913 0.0,621449.807772402 5304362.88478541 0.0,"
62,"621449.807772402 5304362.88478541 0.0,621453.544184444 5304373.00368502 0.0,"
63,"621453.544184444 5304373.00368502 0.0,621443.337948576 5304378.17050808 0.0,"
64,"621443.337948576 5304378.17050808 0.0,621419.261116454 5304397.36667922 0.0,"
65,"621419.261116454 5304397.36667922 0.0,621350.145651138 5304447.71616843 0.0,"
66,"621350.145651138 5304447.71616843 0.0,621304.921273199 5304469.21468795 0.0,"
67,"621304.921273199 5304469.21468795 0.0,621278.024495154 5304478.13397591 0.0,"
68,"621278.024495154 5304478.13397591 0.0,621257.956772572 5304482.77152316 0.0,"
69,"621257.956772572 5304482.77152316 0.0,621179.875225694 5304482.91112438 0.0,"
70,"621179.875225694 5304482.91112438 0.0,621067.476331428 5304483.47728413 0.0,"
71,"621067.476331428 5304483.47728413 0.0,621053.069696984 5304531.33072596 0.0,"
72,"621053.069696984 5304531.33072596 0.0,621038.294645224 5304567.15704987 0.0,"
73,"621038.294645224 5304567.15704987 0.0,621024.64352252 5304591.12096947 0.0,"
74,"621024.64352252 5304591.12096947 0.0,621017.235812806 5304601.26169438 0.0,"
75,"621017.235812806 5304601.26169438 0.0,620973.728099895 5304662.31491282 0.0,"
76,"620973.728099895 5304662.31491282 0.0,620939.146688633 5304712.1697744 0.0,"
77,"620939.146688633 5304712.1697744 0.0,620929.736020448 5304726.1824583 0.0,"
78,"620929.736020448 5304726.1824583 0.0,620881.311846784 5304788.52317596 0.0,"
79,"620881.311846784 5304788.52317596 0.0,620809.264542528 5304917.23825113 0.0,"
80,"620809.264542528 5304917.23825113 0.0,620543.850954836 5305370.7062187 0.0,"
81,"620543.850954836 5305370.7062187 0.0,620477.222669047 5305601.25278026 0.0,"
82,"620477.222669047 5305601.25278026 0.0,620462.227534759 5305650.41834566 0.0,"
83,"620462.227534759 5305650.41834566 0.0,620456.251843317 5306117.96080241 0.0,"
84,"620456.251843317 5306117.96080241 0.0,620440.085478652 5306244.07733915 0.0,"
85,"620440.085478652 5306244.07733915 0.0,620429.84516116 5306301.59235992 0.0,"
86,"620429.84516116 5306301.59235992 0.0,620440.285914843 5306308.62610176 0.0,620442.576218468 5306318.90319646 0.0,"
87,"620442.576218468 5306318.90319646 0.0,620433.308600399 5306331.25175013 0.0,620423.80022029 5306332.20965111 0.0,"
88,"620423.80022029 5306332.20965111 0.0,620412.215762832 5306321.93874027 0.0,620415.194657837 5306306.74592707 0.0,620429.84516116 5306301.59235992 0.0,"
89,"620423.80022029 5306332.20965111 0.0,620392.170834621 5306445.87300412 0.0,"
90,"620392.170834621 5306445.87300412 0.0,620318.340689108 5306639.63443624 0.0,"
91,"622469.327487502 5304682.87443194 0.0,622259.561776999 5304144.57709586 0.0,"
92,"622467.368758952 5304698.69956296 0.0,622469.327487502 5304682.87443194 0.0,"
93,"622438.913382355 5304812.08703388 0.0,622467.368758952 5304698.69956296 0.0,"
94,"622427.222927749 5304846.31883187 0.0,622438.913382355 5304812.08703388 0.0,"
95,"622343.517848 5304999.40833844 0.0,622427.222927749 5304846.31883187 0.0,"
96,"622165.379104249 5305298.62546092 0.0,622343.517848 5304999.40833844 0.0,"
97,"622150.332994204 5305324.03615146 0.0,622165.379104249 5305298.62546092 0.0,"
98,"621695.163460265 5306088.23920055 0.0,622150.332994204 5305324.03615146 0.0,"
99,"621685.01369718 5306105.7486503 0.0,621695.163460265 5306088.23920055 0.0,"
100,"621753.961104482 5310190.7161598 0.0,621205.945305138 5306952.68494761 0.0,621685.01369718 5306105.7486503 0.0,"
101,"621750.259493968 5310193.32874659 0.0,621200.106074408 5306951.62828293 0.0,621681.021495478 5306103.58523552 0.0,"
102,"621681.021495478 5306103.58523552 0.0,621691.170051815 5306086.48715218 0.0,"
103,"621691.170051815 5306086.48715218 0.0,622146.106989986 5305320.53321656 0.0,"
